origin,destination,count,iata,name,city,state,country,latitude,longitude,origin_sum,state_group,ori_state_flights,city_unique,city_lat,city_long
IAD,BUR,163,MBY,Omar N Bradley,Moberly,MO,USA,39.46392583,-92.42759778,0,,,Mendota,36.75800528,-120.3712794
IAD,CAE,1709,MCB,McComb-Pike County,McComb,MS,USA,31.17845444,-90.47187528,0,,,Paradise,39.70960639,-121.6163617
IAD,CHS,710,MCD,Mackinac Island,Mackinac Island,MI,USA,45.86493444,-84.63734444,0,,,Rio Linda,38.67601389,-121.4455092
IAD,CLE,1435,MCE,Merced Municipal/MacReady,Merced,CA,USA,37.28472861,-120.5138858,0,,,Ruth,40.21125917,-123.2975231
IAD,CLT,2762,MCG,McGrath,McGrath,AK,USA,62.95287361,-155.6057625,0,,,San Martin,37.08158611,-121.5968056
IAD,CVG,783,MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,59370,,,Racine,42.76119139,-87.81389806
IAD,DAY,52,MCK,McCook Municipal,McCook,NE,USA,40.20638889,-100.5918056,0,,,Riverside,33.95187528,-117.4451017
IAD,DCA,1,MCN,Middle Georgia Regional,Macon,GA,USA,32.69284944,-83.64921083,652,,,Rapid City,44.04532139,-103.0573708
IAD,DEN,2984,MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,130872,,,Bassett,42.56966667,-99.56836111
IAD,DFW,2009,MCW,Mason City Municipal,Mason City,IA,USA,43.1577925,-93.33126056,0,,,Roseburg,43.23878306,-123.3558617
IAD,DTW,1684,MCX,White County,Monticello,IN,USA,40.70881639,-86.76676139,0,,,Red Bluff,40.15065667,-122.2522903
IAD,EWR,1790,MCZ,Martin County,Williamston,NC,USA,35.86219306,-77.17820278,0,,,Walterboro,32.92052778,-80.64125
IAD,FLL,1174,MDD,Midland Airpark,Midland,TX,USA,32.03652444,-102.1010278,0,,,Ruby,64.72721556,-155.4698886
IAD,GSO,207,MDF,Mooreland Municipal,Mooreland,OK,USA,36.48475778,-99.19415778,0,,,Ladysmith,45.49825694,-91.00186361
IAD,GSP,682,MDH,Southern Illinois,Carbondale,IL,USA,37.77809583,-89.25203111,0,,,Reading,40.3785,-75.96525
IAD,HSV,725,MDR,Medfra,Medfra,AK,USA,63.10577694,-154.7189806,0,,,Red Oak,41.01052778,-95.25986111
IAD,IAH,1389,MDS,Madison Municipal,Madison,SD,USA,44.01597222,-97.08593333,0,,,Redmond,44.25406722,-121.1499633
IAD,JAX,751,MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,7594,,,Raleigh,35.87763889,-78.78747222
IAD,JFK,2297,MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,87619,,,Red Devil,61.78764333,-157.3479344
IAD,LAS,1623,MDZ,Taylor County,Medford,WI,USA,45.10097556,-90.30341,0,,,Red Lodge,45.18744472,-109.2673778
IAD,LAX,4092,MEB,Laurinburg-Maxton,Maxton,NC,USA,34.79193917,-79.36584778,0,,,Rockford,42.19536389,-89.09721111
IAD,LGA,1105,MEI,Key,Meridian,MS,USA,32.33313333,-88.75120556,674,,,Refugio,28.29361694,-97.32304833
IAD,LGB,756,MEJ,Meade Municipal,Meade,KS,USA,37.27938889,-100.3563056,0,,,Red Wing,44.58935611,-92.48496889
IAD,MCI,313,MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,80966,,,Rhinelander,45.63119306,-89.46745361
IAD,MCO,4244,MER,Castle,Atwater,CA,USA,37.38048056,-120.5681889,0,,,San Jose,37.33287306,-121.8197947
IAD,MDT,984,MEV,Minden-Tahoe,Minden,NV,USA,39.00030889,-119.7508064,0,,,Richfield,38.73643611,-112.0989444
IAD,MDW,2075,MEY,Mapleton Municipal,Mapleton,IA,USA,42.178295,-95.79364528,0,,,Rifle,39.526315,-107.7269403
IAD,MHT,585,MFD,Mansfield Lahm Municipal,Mansfield,OH,USA,40.82141667,-82.51663889,0,,,Rancho Murieta,38.4887975,-121.1024447
IAD,MIA,575,MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,4116,,,Riverton,43.064235,-108.4598411
IAD,MSP,712,MFI,Marshfield Municipal,Marshfield,WI,USA,44.63687972,-90.18932667,0,,,Rockland,44.06008333,-69.09925
IAD,MSY,413,MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,5652,,,Rockport,28.08677778,-97.04461111
IAD,MYR,533,MFV,Accomack County,Melfa,VA,USA,37.64688889,-75.76105556,0,,,Poteau,35.02162639,-94.6212525
IAD,OAK,841,MGC,Michigan City Municipal,Michigan City,IN,USA,41.70331694,-86.82124167,0,,,Rock Springs,41.5942175,-109.0651928
IAD,OKC,319,MGJ,Orange Cty,Montgomery,NY,USA,41.50998278,-74.26465056,0,,,Rockwood,35.922295,-84.68966278
IAD,ORD,2948,MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,3851,,,Richland,46.305635,-119.3041853
IAD,ORF,956,MGR,Moultrie Municipal,Moultrie,GA,USA,31.08490917,-83.80325528,0,,,Rome,43.23379861,-75.40703333
IAD,PBI,14,MGW,Morgantown Muni-Walter L. Bill Hart Fld.,Morgantown,WV,USA,39.6429075,-79.91631417,0,,,Rampart,65.50786222,-150.1428047
IAD,PDX,367,MGY,Dayton Wright Brothers,Dayton,OH,USA,39.58897222,-84.22486111,0,,,New Richmond,45.14831139,-92.53806139
IAD,PHL,607,MHE,Mitchell Municipal,Mitchell,SD,USA,43.77483333,-98.03861111,0,,,Ramona,33.038905,-116.9136392
IAD,PHX,731,MHK,Manhattan Regional,Manhattan,KS,USA,39.14096722,-96.67083278,0,,,Renton,47.49313889,-122.21575
IAD,PIT,740,MHL,Marshall Memorial Municipal,Marshall,MO,USA,39.09575472,-93.20287889,0,,,Rogers,36.37229667,-94.10686972
IAD,PVD,511,MHM,Minchumina,Minchumina,AK,USA,63.880565,-152.3006756,0,,,Rush City,45.69801389,-92.95298972
IAD,PWM,380,MHP,Metter Municipal,Metter,GA,USA,32.37388889,-82.07919444,0,,,Roswell,33.30155556,-104.5305556
IAD,RDU,1679,MHR,Sacramento Mather,Sacramento,CA,USA,38.55389694,-121.2975908,0,,,Roseau,48.85603806,-95.69703861
IAD,ROA,682,MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,18588,,,Belleville,39.81790861,-97.659625
IAD,ROC,492,MHV,Mojave,Mojave,CA,USA,35.05936472,-118.1518561,0,,,Rice Lake,45.41809056,-91.77365194
IAD,RSW,14,MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,62559,,,Roundup,46.47357528,-108.5576333
IAD,SAN,1331,MIB,Minot AFB,NA,NA,USA,48.415769,-101.358039,0,,,Big Rapids,43.72263278,-85.50407333
IAD,SAT,111,MIC,Crystal,Minneapolis,MN,USA,45.06198611,-93.3539375,0,,,Window Rock,35.65205556,-109.0673889
IAD,SAV,1008,MIE,Delaware County,Muncie,IN,USA,40.24234806,-85.39586,0,,,Merrill,45.19927083,-89.71143389
IAD,SEA,1098,MIO,Miami Municipal,Miami,OK,USA,36.90922083,-94.88750028,0,,,Warroad,48.94138889,-95.34838889
IAD,SFO,3139,MIT,Shafter-Minter,Shafter,CA,USA,35.50592944,-119.1915236,0,,,Russian Mission,61.77967583,-161.3194772
IAD,SJC,245,MIV,Millville Muni,Millville,NJ,USA,39.36780556,-75.07222222,0,,,Russell,38.87212222,-98.81177611
IAD,SJU,707,MIW,Marshalltown Municipal,Marshalltown,IA,USA,42.11272639,-92.91778778,0,,,Ruston,32.51444444,-92.58833333
IAD,SLC,524,MJQ,Jackson Municipal,Jackson,MN,USA,43.65004111,-94.98654611,0,,,Robinson,39.01604222,-87.649775
IAD,SMF,365,MJX,Robert J. Miller Airpark,Toms River,NJ,USA,39.92749806,-74.29237917,0,,,Raton,36.74152778,-104.5021833
IAD,SPI,141,MKA,Miller Municipal,Miller,SD,USA,44.52524444,-98.95811444,0,,,Rugby,48.39035917,-100.0242739
IAD,STT,137,MKC,Downtown,Kansas City,MO,USA,39.12324111,-94.592735,0,,,Salisbury,35.64588583,-80.52029306
IAD,SYR,653,MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,42700,,,Rutland,43.52990694,-72.949615
IAD,TPA,1746,MKG,Muskegon County,Muskegon,MI,USA,43.16948806,-86.23822306,396,,,Reedsville,40.67737417,-77.62682833
IAD,TUS,112,MKJ,Mountain Empire,Marion,VA,USA,36.8948525,-81.349955,0,,,Rogersville,36.45757917,-82.88503722
IAD,TYS,97,MKK,Molokai,Kaunakakai,HI,USA,21.15288583,-157.0962561,0,,,Tulsa,36.0396275,-95.984635
IAH,ABQ,2261,MKL,McKellar-Sipes Regional,Jackson,TN,USA,35.59987944,-88.91561611,0,,,Redwood Falls,44.54720389,-95.082255
IAH,AEX,342,MKO,Davis,Muskogee,OK,USA,35.65773028,-95.36164889,0,,,Rocky Mount,35.85498861,-77.89295611
IAH,AGS,1,MKT,Mankato Regional,Mankato,MN,USA,44.22164528,-93.91874333,0,,,Rawlins,41.8055975,-107.19994
IAH,AMA,807,MKV,Marksville Municipal,Marksville,LA,USA,31.09466,-92.06906861,0,,,Winamac,41.09226306,-86.61287111
IAH,ANC,206,MKY,Marco Island,Marco Island,FL,USA,25.99502778,-81.67252778,0,,,Rexburg,43.83391139,-111.805105
IAH,ATL,4989,MLB,Melbourne International,Melbourne,FL,USA,28.10275,-80.64580556,2002,,,Tucson,32.14308333,-111.1728611
IAH,AUS,3704,MLC,McAlester Regional,McAlester,OK,USA,34.88240194,-95.78346278,0,,,Marietta,34.01315611,-84.59854472
IAH,AVL,458,MLE,Millard,Omaha,NE,USA,41.196,-96.11227778,0,,,Rensselaer,40.94789861,-87.18257944
IAH,BDL,120,MLF,Milford Municipal,Milford,UT,USA,38.4266325,-113.0124564,0,,,Siren,45.8227275,-92.37250083
IAH,BHM,2333,MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917,8567,,,Roanoke Rapids,36.43945583,-77.70934139
IAH,BNA,2547,MLJ,Baldwin County,Milledgeville,GA,USA,33.15419444,-83.24061111,0,,,Conrad,48.16863889,-111.9764722
IAH,BOS,1822,MLL,Marshall,Marshall,AK,USA,61.8659225,-162.0690456,0,,,Bandon,43.08733083,-124.4095578
IAH,BPT,275,MLS,Frank Wiley,Miles City,MT,USA,46.42795972,-105.8862397,0,,,Bend,44.09483333,-121.2006389
IAH,BRO,1465,MLT,Millinocket Municipal,Millinocket,ME,USA,45.64783611,-68.68556194,0,,,Chelan,47.86597139,-119.9427053
IAH,BTR,2009,MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778,2530,,,Forks,47.94146583,-124.3929867
IAH,BWI,1728,MLY,Manley Hot Springs,Manley Hot Springs,AK,USA,64.99756472,-150.6441297,0,,,Sunriver,43.87633333,-121.4530556
IAH,CAE,165,MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,0,,,Ione,48.70727528,-117.4126036
IAH,CHA,458,MMI,McMinn County,Athens,TN,USA,35.39730333,-84.56256861,0,,,Watford City,47.79569972,-103.2536992
IAH,CHS,73,MMK,Meriden-Markham Municipal,Meriden,CT,USA,41.50871472,-72.82947833,0,,,Dunseith,48.99778194,-100.0434589
IAH,CLE,2147,MML,Marshall Muni - Ryan,Marshall,MN,USA,44.45006611,-95.82234028,0,,,Lopez,48.48259944,-122.9368444
IAH,CLL,261,MMU,Morristown Municipal,Morristown,NJ,USA,40.79935,-74.41487472,0,,,Cooperstown,47.42277361,-98.10587139
IAH,CLT,3709,MMV,McMinnville Muni,McMinnville,OR,USA,45.19444444,-123.1359444,0,,,Madras,44.66623139,-121.1631
IAH,CMH,839,MNF,Mountain View,Mountain View,MO,USA,36.99282694,-91.71445611,0,,,Plains,47.47243611,-114.900135
IAH,COS,1725,MNI,Clarendon County,Manning,SC,USA,33.58711111,-80.20866667,0,,,Prineville,44.28699389,-120.9038328
IAH,CRP,823,MNM,Menominee-Marinette Twin County,Menominee,MI,USA,45.12665028,-87.63844056,0,,,Prosser,46.212355,-119.7928122
IAH,CRW,674,MNN,Marion Municipal,Marion,OH,USA,40.61625,-83.06347222,0,,,Snohomish,47.90815306,-122.1054072
IAH,CVG,2045,MNV,Monroe County,Madisonville,TN,USA,35.54537222,-84.380235,0,,,Siletz Bay (Gleneden Beach),44.87761139,-124.0284472
IAH,DAL,3730,MNZ,Hamilton Municipal,Hamilton,TX,USA,31.66592639,-98.1486375,0,,,Tillamook,45.41824194,-123.8143839
IAH,DAY,859,MO6,Washington Memorial,Washington,MO,USA,38.59163472,-90.99761444,0,,,Winthrop,48.42070056,-120.1470264
IAH,DCA,2941,MO85,Lawrence Smith Memorial,Harrisonville,MO,USA,38.61102222,-94.34213056,0,,,Libby,48.28384528,-115.4902453
IAH,DEN,4584,MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,6348,,,Kenmore,47.75482,-122.2592931
IAH,DFW,5539,MOD,Modesto City-County-Harry Sham,Modesto,CA,USA,37.62581722,-120.9544214,2325,,,Stanford,47.14718944,-110.2299289
IAH,DSM,688,MOP,Mount Pleasant Municipal,Mount Pleasant,MI,USA,43.62166833,-84.737485,0,,,Homedale,43.61488056,-116.9215372
IAH,DTW,2742,MOR,Moore-Murrell,Morristown,TN,USA,36.17939639,-83.37544944,0,,,Nampa,43.58133333,-116.5230556
IAH,EGE,124,MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,1085,,,Orofino,46.49129139,-116.2768061
IAH,ELP,1136,MOU,Mountain Village,Mountain Village,AK,USA,62.09536222,-163.6820594,0,,,Othello,46.79486278,-119.0802875
IAH,EWR,3970,MOX,Morris Municipal,Morris,MN,USA,45.56651667,-95.96763611,0,,,Chinook,48.59194444,-109.2488889
IAH,FLL,1933,MPE,Philadelphia Municipal,Philadelphia,MS,USA,32.7995775,-89.12589472,0,,,St Maries,47.32768722,-116.5773906
IAH,GPT,1908,MPJ,Petit Jean Park,Morrilton,AR,USA,35.13886306,-92.90919694,0,,,Kamiah,46.21934028,-116.0134736
IAH,GRK,525,MPO,Pocono Mountains Muni,Mount Pocono,PA,USA,41.1374775,-75.37887833,0,,,Grangeville,45.94255806,-116.1234158
IAH,GRR,714,MPR,McPherson,McPherson,KS,USA,38.35243722,-97.69133028,0,,,Kellogg,47.54769889,-116.1885008
IAH,GSO,1036,MPV,Edward F Knapp State,Barre-Montpelier,VT,USA,44.203505,-72.56232944,0,,,Culbertson,48.15333333,-104.5038889
IAH,GSP,954,MPZ,Mount Pleasant Municipal,Mount Pleasant,IA,USA,40.94661389,-91.511075,0,,,Weiser,44.20683056,-116.9623869
IAH,HDN,112,MQB,Macomb Municipal,Macomb,IL,USA,40.52034556,-90.65246389,0,,,Craigmont,46.24710917,-116.4801447
